steps,values,std_values,n_values
349,120891,120891,0.0397322240755675
350,121059,121059,0.039787439216849275
351,121228,121228,0.0398429830196863
352,120847,120847,0.039717762967136555
353,121249,121249,0.03984988491234653
354,121508,121508,0.03993500825515593
355,121199,121199,0.03983345183458409
356,120972,120972,0.03975884566154264
357,121338,121338,0.03987913579076366
358,121037,121037,0.039780208662633806
359,120754,120754,0.039687197442498434
360,120795,120795,0.039700672566263626
361,120756,120756,0.03968785476560893
362,120330,120330,0.03954784494307299
363,120324,120324,0.0395458729737415
364,119108,119108,0.039146220522559116
365,119379,119379,0.0392352878040315
366,121031,121031,0.03977823669330231
367,121167,121167,0.03982293466481614
368,119276,119276,0.03920143566384089
369,119944,119944,0.039420981582747004
370,120696,120696,0.03966813507229401
371,119358,119358,0.03922838591137128
372,120075,120075,0.039464036246484584
373,119625,119625,0.03931613854662268
374,120863,120863,0.03972302155202054
375,120951,120951,0.03975194376888242
376,120252,120252,0.0395222093417636
377,119615,119615,0.03931285193107019
378,120225,120225,0.039513335479771886
379,120519,120519,0.039609961977014996
380,120884,120884,0.03972992344468076
381,120317,120317,0.03954357234285476
382,119107,119107,0.03914589186100387
383,120879,120879,0.03972828013690451
384,121148,121148,0.03981669009526641
385,120845,120845,0.03971710564402606
386,121311,121311,0.039870261928771945
387,121484,121484,0.039927120377829965
388,121126,121126,0.03980945954105094
389,120994,120994,0.03976607621575811
390,121379,121379,0.03989261091452885
391,120996,120996,0.03976673353886861
392,120930,120930,0.0397450418762222
393,121458,121458,0.0399185751773935
394,121458,121458,0.0399185751773935
395,121007,121007,0.039770348815976346
396,121074,121074,0.03979236914017801
397,121129,121129,0.039810445525716685
398,120843,120843,0.039716448320915566
399,121297,121297,0.03986566066699846
400,121444,121444,0.039913973915620016
401,120987,120987,0.039763775584871375
402,120911,120911,0.03973879730667247
403,121391,121391,0.03989655485319184
404,121050,121050,0.03978448126285204
405,121030,121030,0.039777908031747064
406,121448,121448,0.03991528856184101
407,121410,121410,0.03990279942274156
408,120898,120898,0.03973452470645424
409,121030,121030,0.039777908031747064
410,121268,121268,0.03985612948189625
411,120877,120877,0.039727622813794015
412,121229,121229,0.03984331168124155
413,121508,121508,0.03993500825515593
414,121268,121268,0.03985612948189625
415,120869,120869,0.03972499352135203
416,121211,121211,0.039837395773247075
417,121091,121091,0.039797956386617234
418,120881,120881,0.03972893746001501
419,121365,121365,0.03988800965275537
420,121475,121475,0.039924162423832725
421,121075,121075,0.03979269780173326
422,121023,121023,0.03977560740086032
423,121397,121397,0.03989852682252333
424,120944,120944,0.03974964313799568
425,120930,120930,0.0397450418762222
426,120471,120471,0.039594186222363055
427,120049,120049,0.03945549104604812
428,120138,120138,0.03948474192446525
429,120259,120259,0.039524509972650335
430,120078,120078,0.03946502223115033
431,119488,119488,0.03927111191355361
432,120954,120954,0.03975292975354817
433,121094,121094,0.03979894237128298
434,119144,119144,0.03915805233854806
435,120007,120007,0.03944168726072767
436,120788,120788,0.03969837193537688
437,120343,120343,0.03955211754329123
438,119062,119062,0.039131102091017674
439,119534,119534,0.03928623034509505
440,120682,120682,0.039663533810520527
441,120878,120878,0.039727951475349264
442,120384,120384,0.03956559266705642
443,119536,119536,0.039286887668205546
444,120185,120185,0.039500189017561936
445,120633,120633,0.039647429394313344
446,120883,120883,0.03972959478312551
447,120166,120166,0.039493944448012214
448,119096,119096,0.03914227658389613
449,121021,121021,0.03977495007774983
450,121019,121019,0.03977429275463933
451,120903,120903,0.03973616801423049
452,121420,121420,0.03990608603829405
453,121456,121456,0.039917917854283
454,121024,121024,0.03977593606241557
455,121057,121057,0.03978678189373878
456,121389,121389,0.03989589753008134
457,120910,120910,0.03973846864511722
458,121040,121040,0.03978119464729955
459,121498,121498,0.03993172163960344
460,121350,121350,0.03988307972942664
461,120925,120925,0.039743398568445956
462,121152,121152,0.0398180047414874
463,121053,121053,0.03978546724751778
464,120976,120976,0.03976016030776364
465,121383,121383,0.039893925560749846
466,121356,121356,0.03988505169875813
467,120811,120811,0.03970593115114761
468,120994,120994,0.03976607621575811
469,121372,121372,0.039890310283642115
470,120965,120965,0.0397565450306559
471,121074,121074,0.03979236914017801
472,121433,121433,0.03991035863851228
473,121240,121240,0.03984692695834929
474,120843,120843,0.039716448320915566
475,121161,121161,0.039820962695484644
476,121102,121102,0.03980157166372497
477,120860,120860,0.03972203556735479
478,121355,121355,0.039884723037202884
479,121500,121500,0.03993237896271394
480,121125,121125,0.03980913087949569
481,120886,120886,0.039730580767791256
482,121326,121326,0.03987519185210067
483,120934,120934,0.03974635652244319
484,120898,120898,0.03973452470645424
485,121369,121369,0.03988932429897637
486,121324,121324,0.039874534528990174
487,120922,120922,0.03974241258378021
488,121093,121093,0.03979861370972773
489,121357,121357,0.03988538036031338
490,120885,120885,0.03973025210623601
491,121091,121091,0.039797956386617234
492,121506,121506,0.039934350932045434
493,119982,119982,0.039433470721846456
494,119208,119208,0.03917908667808398
495,120222,120222,0.03951234949510614
496,120106,120106,0.03947422475469729
497,120041,120041,0.03945286175360613
498,120034,120034,0.039450561122719385
499,120392,120392,0.03956822195949841
500,120850,120850,0.0397187489518023
501,120860,120860,0.03972203556735479
502,119607,119607,0.039310222638628205
503,119756,119756,0.03935919321036025
504,120412,120412,0.03957479519060338
505,119771,119771,0.039364123133688984
506,120282,120282,0.03953206918842106
507,119069,119069,0.039133402721904416
508,120433,120433,0.0395816970832636
509,121022,121022,0.03977527873930507
510,120343,120343,0.03955211754329123
511,119479,119479,0.03926815395955637
512,120575,120575,0.03962836702410892
513,120414,120414,0.03957545251371388
514,120269,120269,0.039527796588202824
515,120436,120436,0.03958268306792935
516,119053,119053,0.03912814413702043
517,120540,120540,0.039616863869675216
518,121408,121408,0.03990214209963106
519,121345,121345,0.039881436421650394
520,120963,120963,0.0397558877075454
521,121154,121154,0.0398186620645979
522,121290,121290,0.03986336003611172
523,120847,120847,0.039717762967136555
524,121128,121128,0.039810116864161436
525,121410,121410,0.03990279942274156
526,121138,121138,0.039813403479713926
527,120922,120922,0.03974241258378021
528,121202,121202,0.039834437819249835
529,120997,120997,0.03976706220042386
530,121113,121113,0.0398051869408327
531,121485,121485,0.039927449039385214
532,121313,121313,0.03987091925188244
533,120873,120873,0.03972630816757303
534,121149,121149,0.03981701875682166
535,121276,121276,0.03985875877433824
536,120956,120956,0.039753587076658665
537,121268,121268,0.03985612948189625
538,121492,121492,0.03992974967027195
539,121146,121146,0.03981603277215591
540,120846,120846,0.039717434305581306
541,121295,121295,0.03986500334388796
542,120954,120954,0.03975292975354817
543,120897,120897,0.039734196044898994
544,121380,121380,0.0398929395760841
545,121446,121446,0.039914631238730514
546,120982,120982,0.03976213227709513
547,120904,120904,0.03973649667578573
548,121344,121344,0.03988110776009515
549,120896,120896,0.039733867383343745
550,121016,121016,0.039773306769973586
551,121396,121396,0.03989819816096808
552,121502,121502,0.03993303628582444
553,121492,121492,0.03992974967027195
554,121680,121680,0.0399915380426587
555,121834,121834,0.040042151922167
556,121834,121834,0.040042151922167
557,121834,121834,0.040042151922167
558,121834,121834,0.040042151922167
559,121834,121834,0.040042151922167
560,121589,121589,0.03996162984113107
561,121483,121483,0.039926791716274716
562,120916,120916,0.039740440614448716
563,120620,120620,0.03964315679409511
564,120617,120617,0.03964217080942936
565,120956,120956,0.039753587076658665
566,121620,121620,0.03997181834934378
567,121492,121492,0.03992974967027195
568,120008,120008,0.03944201592228292
569,120886,120886,0.039730580767791256
570,121228,121228,0.0398429830196863
571,121180,121180,0.039827207265034366
572,119877,119877,0.03939896125854534
573,119965,119965,0.039427883475407224
574,121222,121222,0.03984101105035481
575,116680,116680,0.03834823026641533
576,27274,27274,0.008963915257852346
577,115411,115411,0.03793115875280476
578,121620,121620,0.03997181834934378
579,121813,121813,0.04003525002950678
580,121787,121787,0.04002670482907031
581,121360,121360,0.03988636634497913
582,120622,120622,0.039643814117205606
583,122143,122143,0.04014370834273884
584,122400,122400,0.04022817436243775
585,122400,122400,0.04022817436243775
586,122400,122400,0.04022817436243775
587,122400,122400,0.04022817436243775
588,122400,122400,0.04022817436243775
589,122400,122400,0.04022817436243775
590,122400,122400,0.04022817436243775
591,122400,122400,0.04022817436243775
592,122400,122400,0.04022817436243775
593,122400,122400,0.04022817436243775
594,122400,122400,0.04022817436243775
595,122400,122400,0.04022817436243775
596,122400,122400,0.04022817436243775
597,122400,122400,0.04022817436243775
598,122400,122400,0.04022817436243775
599,122400,122400,0.04022817436243775
600,122400,122400,0.04022817436243775
