steps,values,std_values,n_values
471,2244,2244,0.01135950847366289
472,1583,1583,0.00801341440009285
473,2155,2155,0.010908975383575546
474,2013,2013,0.010190147307256415
475,2076,2076,0.010509063989003635
476,2017,2017,0.010210395985462587
477,2030,2030,0.010276204189632649
478,2270,2270,0.01149112488200301
479,1650,1650,0.008352579760046242
480,2295,2295,0.01161767912079159
481,2056,2056,0.010407820597972772
482,2241,2241,0.01134432196500826
483,2104,2104,0.010650804736446844
484,2068,2068,0.01046856663259129
485,2029,2029,0.010271142020081106
486,1984,1984,0.010043344390261662
487,2092,2092,0.010590058701828326
488,2008,2008,0.0101648364594987
489,2017,2017,0.010210395985462587
490,2055,2055,0.010402758428421229
491,2261,2261,0.011445565356039123
492,1401,1401,0.0070920995417119905
493,2937,2937,0.01486759197288231
494,2928,2928,0.014822032446918421
495,2412,2412,0.012209952958322143
496,2806,2806,0.014204447761630155
497,2741,2741,0.013875406740779847
498,2734,2734,0.013839971553919046
499,3092,3092,0.0156522282533715
500,2020,2020,0.010225582494117218
501,3560,3560,0.01802132360349371
502,2817,2817,0.014260131626697129
503,3476,3476,0.017596101361164084
504,3367,3367,0.017044324880045876
505,1706,1706,0.00863606125493266
506,3747,3747,0.018967949309632283
507,2789,2789,0.014118390879253921
508,3388,3388,0.017150630440628284
509,2192,2192,0.011096275656982645
510,3043,3043,0.015404181945345888
511,2689,2689,0.013612173924099602
512,2255,2255,0.011415192338729865
513,2604,2604,0.013181889512218433
514,2459,2459,0.012447874927244673
515,3136,3136,0.015874963713639403
516,2773,2773,0.014037396166429229
517,3240,3240,0.016401429346999893
518,1558,1558,0.00788686016130427
519,2005,2005,0.01014964995084407
520,2133,2133,0.010797607653441597
521,2069,2069,0.010473628802142834
522,2205,2205,0.011162083861152704
523,2017,2017,0.010210395985462587
524,2298,2298,0.01163286562944622
525,1305,1305,0.006606131264763846
526,2053,2053,0.010392634089318143
527,2092,2092,0.010590058701828326
528,1862,1862,0.009425759704973396
529,1912,1912,0.009678868182550555
530,2283,2283,0.011556933086173072
531,1635,1635,0.008276647216773094
532,2228,2228,0.011278513760838198
533,2043,2043,0.01034201239380271
534,2064,2064,0.010448317954385116
535,1936,1936,0.00980036025178759
536,1871,1871,0.009471319230937284
537,2183,2183,0.011050716131018755
538,1642,1642,0.008312082403633897
539,2316,2316,0.011723984681373997
540,2016,2016,0.010205333815911044
541,2210,2210,0.011187394708910421
542,2124,2124,0.010752048127477707
543,2067,2067,0.010463504463039747
544,1785,1785,0.009035972649504571
545,1596,1596,0.008079222604262911
546,2152,2152,0.010893788874920917
547,2074,2074,0.010498939649900549
548,2004,2004,0.010144587781292527
549,1811,1811,0.009167589057844693
550,2186,2186,0.011065902639673384
551,1546,1546,0.00782611412668575
552,1397,1397,0.007071850863505818
553,1642,1642,0.008312082403633897
554,1575,1575,0.007972917043680503
555,964,964,0.004879931447687623
556,964,964,0.004879931447687623
557,964,964,0.004879931447687623
558,964,964,0.004879931447687623
559,964,964,0.004879931447687623
560,1229,1229,0.006221406378846564
561,1633,1633,0.008266522877670008
562,1576,1576,0.007977979213232046
563,2045,2045,0.010352136732905796
564,1787,1787,0.009046096988607658
565,1361,1361,0.0068896127596502635
566,1515,1515,0.007669186870587913
567,2152,2152,0.010893788874920917
568,1688,1688,0.008544942203004882
569,2056,2056,0.010407820597972772
570,1378,1378,0.006975669642026497
571,2350,2350,0.011896098446126466
572,1557,1557,0.007881797991752726
573,2665,2665,0.013490681854862567
574,1882,1882,0.00952700309600426
575,89140,89140,0.4512417938245588
576,1774,1774,0.008980288784437596
577,90421,90421,0.4577264330200856
578,750,750,0.0037966271636573827
579,433,433,0.0021919194158181955
580,407,407,0.002060303007478073
581,1510,1510,0.007643876022830197
582,772,772,0.003907994893791332
583,1273,1273,0.006444141839114464
584,0,0,0.0
585,0,0,0.0
586,0,0,0.0
587,0,0,0.0
588,0,0,0.0
589,0,0,0.0
590,0,0,0.0
591,0,0,0.0
592,0,0,0.0
593,0,0,0.0
594,0,0,0.0
595,0,0,0.0
596,0,0,0.0
597,0,0,0.0
598,0,0,0.0
599,0,0,0.0
600,0,0,0.0
601,0,0,0.0
602,0,0,0.0
603,0,0,0.0
604,0,0,0.0
605,0,0,0.0
606,0,0,0.0
607,0,0,0.0
608,0,0,0.0
609,0,0,0.0
610,0,0,0.0
611,0,0,0.0
612,0,0,0.0
613,0,0,0.0
614,0,0,0.0
615,0,0,0.0
616,0,0,0.0
617,0,0,0.0
618,0,0,0.0
619,0,0,0.0
620,0,0,0.0
621,0,0,0.0
622,0,0,0.0
623,0,0,0.0
624,0,0,0.0
625,0,0,0.0
626,0,0,0.0
627,0,0,0.0
628,0,0,0.0
629,0,0,0.0
630,0,0,0.0
631,0,0,0.0
632,0,0,0.0
633,0,0,0.0
634,0,0,0.0
635,0,0,0.0
636,0,0,0.0
637,0,0,0.0
638,0,0,0.0
639,0,0,0.0
